,Folder,mTime,Plate,Sequencer
0,2024-03-01_022924C_Aa,2024-05-02 15:30:04,2024-03-01_022924C,Aa
1,2024-05-04_050324A_CH,2024-05-06 20:01:30,2024-05-04_050324A,CH
2,2024-05-04_050324C_Ge,2024-05-04 12:29:21,2024-05-04_050324C,Ge
3,2024-05-04_050324D_CH,2024-05-04 12:28:51,2024-05-04_050324D,CH
4,2024-05-04_050324E_SG,2024-05-04 14:15:06,2024-05-04_050324E,SG
5,2024-05-04_050324G_SG,2024-05-04 12:29:04,2024-05-04_050324G,SG
6,2024-05-04_050324H_Ge,2024-05-04 10:46:15,2024-05-04_050324H,Ge
7,2024-05-04_050324H_JN,2024-05-04 13:45:05,2024-05-04_050324H,JN
8,2024-05-04_050324I_Aa,2024-05-04 12:37:27,2024-05-04_050324I,Aa
9,2024-05-04_050324J_Aa,2024-05-04 10:45:05,2024-05-04_050324J,Aa
10,2024-05-04_050324J_CH,2024-05-04 14:27:03,2024-05-04_050324J,CH
11,2024-05-04_050324MD_SG,2024-05-04 10:30:05,2024-05-04_050324MD,SG
12,2024-05-04_050324RPT2_JN,2024-05-04 10:46:04,2024-05-04_050324RPT2,JN
13,2024-05-04_050324RPT_CH,2024-05-04 10:45:22,2024-05-04_050324RPT,CH
14,2024-05-04_050324VT2_Aa,2024-05-04 11:55:09,2024-05-04_050324VT2,Aa
15,2024-05-04_050324VT_Aa,2024-05-04 14:26:47,2024-05-04_050324VT,Aa
16,2024-05-04_050424RERUN2_CH,2024-05-05 01:00:34,2024-05-04_050424RERUN2,CH
17,2024-05-04_050424RERUN_Ge,2024-05-05 01:00:49,2024-05-04_050424RERUN,Ge
18,2024-05-05_050424A_SG,2024-05-05 10:30:35,2024-05-05_050424A,SG
19,2024-05-07_050624A_SG,2024-05-07 04:30:40,2024-05-07_050624A,SG
20,2024-05-07_050624B_CH,2024-05-07 06:30:25,2024-05-07_050624B,CH
21,2024-05-07_050624B_JN,2024-05-07 10:31:20,2024-05-07_050624B,JN
22,2024-05-07_050624C_JN,2024-05-07 16:13:58,2024-05-07_050624C,JN
23,2024-05-07_050624C_SG,2024-05-07 10:30:34,2024-05-07_050624C,SG
24,2024-05-07_050624D_Aa,2024-05-07 04:30:06,2024-05-07_050624D,Aa
25,2024-05-07_050624E_CH,2024-05-07 10:15:06,2024-05-07_050624E,CH
26,2024-05-07_050624E_Ge,2024-05-07 06:17:53,2024-05-07_050624E,Ge
27,2024-05-07_050624F_CH,2024-05-07 04:30:24,2024-05-07_050624F,CH
28,2024-05-07_050624G_Ge,2024-05-07 16:24:07,2024-05-07_050624G,Ge
29,2024-05-07_050624G_SG,2024-05-07 16:30:04,2024-05-07_050624G,SG
30,2024-05-07_050624H_Aa,2024-05-07 06:30:05,2024-05-07_050624H,Aa
31,2024-05-07_050624H_Ge,2024-05-07 14:18:57,2024-05-07_050624H,Ge
32,2024-05-07_050624I_Aa,2024-05-07 10:30:06,2024-05-07_050624I,Aa
33,2024-05-07_050624JG_Aa,2024-05-07 16:16:53,2024-05-07_050624JG,Aa
34,2024-05-07_050624JG_CH,2024-05-07 16:21:05,2024-05-07_050624JG,CH
35,2024-05-07_050624J_Ge,2024-05-07 12:14:34,2024-05-07_050624J,Ge
36,2024-05-07_050624J_JN,2024-05-07 06:17:36,2024-05-07_050624J,JN
37,2024-05-07_050624RPT_Ge,2024-05-07 04:31:20,2024-05-07_050624RPT,Ge
38,2024-05-07_050624RPT_JN,2024-05-07 12:14:21,2024-05-07_050624RPT,JN
39,2024-05-07_050724RERUN1_Aa,2024-05-07 23:45:05,2024-05-07_050724RERUN1,Aa
40,2024-05-07_050724RERUN2_SG,2024-05-07 23:30:05,2024-05-07_050724RERUN2,SG
41,2024-05-08_050724A_Ge,2024-05-08 03:45:42,2024-05-08_050724A,Ge
42,2024-05-08_050724B_Aa,2024-05-08 03:45:05,2024-05-08_050724B,Aa
43,2024-05-08_050724C_Aa,2024-05-08 07:15:35,2024-05-08_050724C,Aa
44,2024-05-08_050724D_Ge,2024-05-08 12:30:51,2024-05-08_050724D,Ge
45,2024-05-08_050724D_SG,2024-05-08 12:31:52,2024-05-08_050724D,SG
46,2024-05-08_050724E_Aa,2024-05-08 22:30:04,2024-05-08_050724E,Aa
47,2024-05-08_050724E_Ge,2024-05-08 05:30:42,2024-05-08_050724E,Ge
48,2024-05-08_050724E_SG,2024-05-08 10:15:46,2024-05-08_050724E,SG
49,2024-05-08_050724F_Ge,2024-05-08 19:47:24,2024-05-08_050724F,Ge
50,2024-05-08_050724F_SG,2024-05-08 20:00:04,2024-05-08_050724F,SG
51,2024-05-08_050724G_SG,2024-05-08 07:16:26,2024-05-08_050724G,SG
52,2024-05-08_050724H_Ge,2024-05-08 07:16:42,2024-05-08_050724H,Ge
53,2024-05-08_050724H_SG,2024-05-08 12:00:05,2024-05-08_050724H,SG
54,2024-05-08_050724I_Aa,2024-05-08 10:15:06,2024-05-08_050724I,Aa
55,2024-05-08_050724NP_Aa,2024-05-08 05:30:05,2024-05-08_050724NP,Aa
56,2024-05-08_050824A_Ge,2024-05-09 06:40:10,2024-05-08_050824A,Ge
57,2024-05-08_050824ch1_CH,2024-05-08 15:45:02,2024-05-08_050824ch1,CH
58,2024-05-08_050824ch2_CH,2024-05-08 23:00:03,2024-05-08_050824ch2,CH
59,2024-05-08_050824jn1_JN,2024-05-08 15:45:03,2024-05-08_050824jn1,JN
60,2024-05-08_050824jn2_JN,2024-05-08 23:00:04,2024-05-08_050824jn2,JN
61,2024-05-08_050824RERUN_Aa,2024-05-09 00:15:05,2024-05-08_050824RERUN,Aa
